class,YOLO_Val,avg_f1,count
red light,v4-tiny / 0.8,1.0,41
pin,v4-tiny / 0.8,0.8847106883787491,41
center,v4-tiny / 0.8,0.7849990273602128,41
small gear,v4-tiny / 0.8,0.8368405858430918,41
medium gear,v4-tiny / 0.8,0.9778994861764341,41
red light,v4-tiny / 0.15,1.0,41
pin,v4-tiny / 0.15,0.7799457994579951,41
center,v4-tiny / 0.15,0.9711751662971174,41
small gear,v4-tiny / 0.15,1.0,41
medium gear,v4-tiny / 0.15,0.8080925015229932,41
red light,v4-tiny / 0.1,1.0,41
pin,v4-tiny / 0.1,0.6520325203252034,41
center,v4-tiny / 0.1,0.9146341463414634,41
small gear,v4-tiny / 0.1,1.0,41
medium gear,v4-tiny / 0.1,0.8709193245778613,41
red light,v4-tiny / 0.2,0.9959349593495934,41
pin,v4-tiny / 0.2,0.8221729490022172,41
center,v4-tiny / 0.2,0.9474448315911731,41
small gear,v4-tiny / 0.2,1.0,41
medium gear,v4-tiny / 0.2,0.7912867310374115,41
red light,v7-tiny / 0.15,1.0,41
pin,v7-tiny / 0.15,0.9804878048780489,41
center,v7-tiny / 0.15,1.0,41
small gear,v7-tiny / 0.15,1.0,41
medium gear,v7-tiny / 0.15,1.0,41
red light,v7-tiny / 0.1,1.0,41
pin,v7-tiny / 0.1,0.9008130081300814,41
center,v7-tiny / 0.1,1.0,41
small gear,v7-tiny / 0.1,1.0,41
medium gear,v7-tiny / 0.1,1.0,41
red light,v7-tiny / 0.8,0.593653575401601,41
pin,v7-tiny / 0.8,0.6534286795601897,41
center,v7-tiny / 0.8,0.0,41
small gear,v7-tiny / 0.8,0.88207405562298,41
medium gear,v7-tiny / 0.8,0.9906415231110348,41
red light,v7-tiny / 0.2,1.0,41
pin,v7-tiny / 0.2,0.9878048780487805,41
center,v7-tiny / 0.2,1.0,41
small gear,v7-tiny / 0.2,1.0,41
medium gear,v7-tiny / 0.2,1.0,41
blue,v4-tiny / 0.2,0.9873737373737371,24
red,v4-tiny / 0.2,0.9953703703703702,24
green,v4-tiny / 0.2,0.9981884057971014,24
yellow,v4-tiny / 0.2,1.0,24
blue,v4-tiny / 0.15,0.9683333333333337,24
red,v4-tiny / 0.15,0.9950000000000001,24
green,v4-tiny / 0.15,1.0,24
yellow,v4-tiny / 0.15,1.0,24
blue,v4-tiny / 0.1,1.0,24
red,v4-tiny / 0.1,1.0,24
green,v4-tiny / 0.1,1.0,24
yellow,v4-tiny / 0.1,1.0,24
blue,v7-tiny / 0.1,1.0,24
red,v7-tiny / 0.1,1.0,24
green,v7-tiny / 0.1,1.0,24
yellow,v7-tiny / 0.1,1.0,24
blue,v7-tiny / 0.2,0.9825268817204305,24
red,v7-tiny / 0.2,1.0,24
green,v7-tiny / 0.2,1.0,24
yellow,v7-tiny / 0.2,1.0,24
blue,v7-tiny / 0.15,0.9933333333333335,24
red,v7-tiny / 0.15,1.0,24
green,v7-tiny / 0.15,1.0,24
yellow,v7-tiny / 0.15,1.0,24
motorbike,v7 / 0.1,0.9090897586720914,5
car,v7 / 0.1,0.9620451078330856,5
truck,v7 / 0.1,0.9642135886974579,5
bus,v7 / 0.1,0.9587917300838626,5
pedestrian,v7 / 0.1,0.8916989414491023,5
motorbike,v4 / 0.1,0.9541371058469782,12
car,v4 / 0.1,0.9584726212977563,12
truck,v4 / 0.1,0.9502687421751448,12
bus,v4 / 0.1,0.8956957901316632,12
pedestrian,v4 / 0.1,0.952347740501545,12
color,v4-tiny / 0.2,0.9661482364370795,61
cut,v4-tiny / 0.2,0.9689182550065718,61
fold,v4-tiny / 0.2,0.9188854038579165,61
glue,v4-tiny / 0.2,0.9210371009026951,61
poke,v4-tiny / 0.2,0.9861366655585813,61
color,v7-tiny / 0.2,0.4015144859939484,62
cut,v7-tiny / 0.2,0.939722509126804,62
fold,v7-tiny / 0.2,0.7598461936061431,62
glue,v7-tiny / 0.2,0.8862852380200081,62
poke,v7-tiny / 0.2,0.9911028769862288,62
blue,11n / 0.1,0.96875,24
red,11n / 0.1,0.9810606060606061,24
green,11n / 0.1,0.9722222222222223,24
yellow,11n / 0.1,0.9551282051282052,24
blue,11n / 0.15,0.9963768115942028,24
red,11n / 0.15,0.9916666666666667,24
green,11n / 0.15,1.0,24
yellow,11n / 0.15,0.9975490196078431,24
blue,11n / 0.2,0.9620071684587819,24
red,11n / 0.2,1.0,24
green,11n / 0.2,1.0,24
yellow,11n / 0.2,0.9922839506172839,24
blue,11s / 0.15,0.9303372321082214,24
red,11s / 0.15,0.9381601731601732,24
green,11s / 0.15,0.9270864756158873,24
yellow,11s / 0.15,0.9018567149081855,24
blue,11s / 0.2,0.9002332046211571,24
red,11s / 0.2,0.9216939220200091,24
green,11s / 0.2,0.8112637769318803,24
yellow,11s / 0.2,0.852381407784221,24
blue,11s / 0.1,0.994017094017094,24
red,11s / 0.1,1.0,24
green,11s / 0.1,1.0,24
yellow,11s / 0.1,1.0,24
color,11n / 0.2,0.999290780141844,30
cut,11n / 0.2,1.0,30
fold,11n / 0.2,1.0,30
glue,11n / 0.2,0.9911530612244898,30
poke,11n / 0.2,0.9993939393939394,30
color,11s / 0.2,1.0,30
cut,11s / 0.2,1.0,30
fold,11s / 0.2,0.9993939393939394,30
glue,11s / 0.2,0.9572789115646264,30
poke,11s / 0.2,1.0,30
red light,11n / 0.1,1.0,41
pin,11n / 0.1,0.7439024390243906,41
center,11n / 0.1,0.9442508710801393,41
small gear,11n / 0.1,1.0,41
medium gear,11n / 0.1,1.0,41
red light,11n / 0.8,0.9444745486652408,41
pin,11n / 0.8,0.9161950386074872,41
center,11n / 0.8,0.8686417538176189,41
small gear,11n / 0.8,0.8833413583068024,41
medium gear,11n / 0.8,0.9581228241208462,41
red light,11n / 0.2,1.0,41
pin,11n / 0.2,0.8474501108647451,41
center,11n / 0.2,0.9349154910130518,41
small gear,11n / 0.2,0.99812382739212,41
medium gear,11n / 0.2,0.9985652797704447,41
