batch,loss,avg_loss,rate,seconds,images
1,85.704,85.704,0.0,0.45055399999999995,4
2,85.996,85.733,0.0,0.057652999999999996,8
3,85.95,85.755,0.0,0.058781,12
4,85.159,85.695,0.0,0.056695999999999996,16
5,86.011,85.727,0.0,0.05554,20
6,85.119,85.666,0.0,0.062108,24
7,86.992,85.799,0.0,0.058009,28
8,85.33,85.752,0.0,0.055990000000000005,32
9,86.398,85.816,0.0,0.058064,36
10,85.405,85.775,0.0,0.056324,40
11,84.915,85.689,0.0,0.057453000000000004,44
12,85.919,85.712,0.0,0.057258,48
13,84.463,85.587,0.0,0.058453000000000005,52
14,84.7,85.499,0.0,0.064231,56
15,85.932,85.542,0.0,0.057152999999999995,60
16,85.229,85.511,0.0,0.056248,64
17,84.956,85.455,0.0,0.058481,68
18,85.228,85.432,0.0,0.054695999999999995,72
19,85.25,85.414,0.0,0.055628,76
20,85.399,85.413,0.0,0.05919,80
21,85.629,85.434,0.0,0.057881999999999996,84
22,85.915,85.482,0.0,0.056593000000000004,88
23,84.45,85.379,0.0,0.057426000000000005,92
24,84.94,85.335,0.0,0.058647,96
25,85.051,85.307,0.0,0.06003,100
26,86.02,85.378,0.0,0.057875,104
27,86.116,85.452,0.0,0.058108,108
28,83.845,85.291,0.0,0.058467,112
29,85.952,85.357,0.0,0.057334,116
30,85.771,85.399,0.0,0.059967,120
31,85.493,85.408,0.0,0.057758000000000004,124
32,85.195,85.387,0.0,0.060920999999999996,128
33,85.794,85.427,0.0,0.05790699999999999,132
34,85.556,85.44,0.0,0.057317,136
35,84.095,85.306,0.0,0.054987,140
36,84.512,85.226,0.0,0.055449,144
37,85.663,85.27,0.0,0.057315,148
38,86.508,85.394,1e-08,0.055712000000000005,152
39,85.424,85.397,1e-08,0.057164,156
40,85.005,85.358,1e-08,0.06518,160
41,86.423,85.464,1e-08,0.062312,164
42,84.987,85.417,1e-08,0.061051,168
43,85.571,85.432,1e-08,0.061546,172
44,85.375,85.426,1e-08,0.060621,176
45,86.881,85.572,1e-08,0.060774,180
46,85.883,85.603,1e-08,0.061215000000000006,184
47,84.385,85.481,1e-08,0.061398,188
48,85.139,85.447,1e-08,0.061709,192
49,86.539,85.556,2e-08,0.058201,196
50,84.963,85.497,2e-08,0.062658,200
51,86.12,85.559,2e-08,0.063759,204
52,85.809,85.584,2e-08,0.061543,208
53,85.626,85.588,2e-08,0.064271,212
54,86.523,85.682,2e-08,0.061304000000000004,216
55,85.452,85.659,2e-08,0.061329999999999996,220
56,83.484,85.441,3e-08,0.057178,224
57,85.078,85.405,3e-08,0.060709000000000006,228
58,85.511,85.416,3e-08,0.060372999999999996,232
59,84.848,85.359,3e-08,0.062781,236
60,83.624,85.185,3e-08,0.061969,240
61,86.289,85.296,4e-08,0.06320300000000001,244
62,84.461,85.212,4e-08,0.066099,248
63,84.806,85.172,4e-08,0.060332000000000004,252
64,86.345,85.289,4e-08,0.058902,256
65,85.592,85.319,5e-08,0.06301899999999999,260
66,83.367,85.124,5e-08,0.061432,264
67,83.929,85.005,5e-08,0.059812,268
68,83.976,84.902,6e-08,0.061452,272
69,84.791,84.891,6e-08,0.061191,276
70,82.923,84.694,6e-08,0.057639,280
71,82.847,84.509,7e-08,0.056086,284
72,83.086,84.367,7e-08,0.05416,288
73,84.505,84.381,7e-08,0.055917,292
74,83.087,84.251,8e-08,0.057360999999999995,296
75,84.813,84.307,8e-08,0.054697,300
76,84.313,84.308,9e-08,0.056851,304
77,84.59,84.336,9e-08,0.059781999999999995,308
78,82.077,84.11,1e-07,0.061562,312
79,83.138,84.013,1e-07,0.056137,316
80,84.922,84.104,1.1e-07,0.054131,320
81,83.292,84.023,1.1e-07,0.054079,324
82,84.054,84.026,1.2e-07,0.062204,328
83,82.627,83.886,1.2e-07,0.053388,332
84,82.435,83.741,1.3e-07,0.054869,336
85,82.274,83.594,1.4e-07,0.053966,340
86,80.461,83.281,1.4e-07,0.057343000000000005,344
87,82.103,83.163,1.5e-07,0.053732,348
88,81.748,83.022,1.6e-07,0.053793,352
89,80.793,82.799,1.6e-07,0.06659999999999999,356
90,80.908,82.61,1.7e-07,0.07198099999999999,360
91,82.883,82.637,1.8e-07,0.076061,364
92,81.2,82.493,1.9e-07,0.077014,368
93,80.853,82.329,2e-07,0.067733,372
94,80.594,82.156,2e-07,0.063366,376
95,80.848,82.025,2.1e-07,0.062804,380
96,78.343,81.657,2.2e-07,0.05872,384
97,79.789,81.47,2.3e-07,0.057923,388
98,79.559,81.279,2.4e-07,0.058234,392
99,78.601,81.011,2.5e-07,0.059425,396
100,79.322,80.842,2.6e-07,0.054814,400
101,78.136,80.572,2.7e-07,0.06665900000000001,404
102,77.842,80.299,2.8e-07,0.061778,408
103,78.274,80.096,2.9e-07,0.057271999999999997,412
104,78.378,79.924,3.1e-07,0.058621,416
105,77.037,79.636,3.2e-07,0.055964,420
106,76.102,79.282,3.3e-07,0.059036,424
107,76.181,78.972,3.4e-07,0.060462,428
108,76.706,78.746,3.6e-07,0.057293,432
109,74.443,78.315,3.7e-07,0.057626,436
110,74.456,77.929,3.8e-07,0.056719,440
111,73.498,77.486,4e-07,0.055386000000000005,444
112,73.679,77.105,4.1e-07,0.054094,448
113,75.088,76.904,4.3e-07,0.060271,452
114,71.253,76.339,4.4e-07,0.0616,456
115,72.352,75.94,4.6e-07,0.059537,460
116,70.973,75.443,4.7e-07,0.059275,464
117,70.06,74.905,4.9e-07,0.060218,468
118,70.996,74.514,5.1e-07,0.055316000000000004,472
119,70.128,74.075,5.2e-07,0.056456000000000006,476
120,68.969,73.565,5.4e-07,0.056792999999999996,480
121,69.309,73.139,5.6e-07,0.057075,484
122,68.177,72.643,5.8e-07,0.05675,488
123,68.219,72.201,6e-07,0.056107,492
124,67.598,71.74,6.2e-07,0.056544,496
125,65.628,71.129,6.4e-07,0.053183,500
126,64.19,70.435,6.6e-07,0.05575,504
127,63.693,69.761,6.8e-07,0.056334,508
128,64.453,69.23,7e-07,0.058141,512
129,63.801,68.687,7.2e-07,0.055435000000000005,516
130,62.786,68.097,7.5e-07,0.056622,520
131,62.192,67.507,7.7e-07,0.056198,524
132,61.256,66.882,7.9e-07,0.05899,528
133,59.999,66.193,8.2e-07,0.05608,532
134,58.82,65.456,8.4e-07,0.056949,536
135,58.297,64.74,8.7e-07,0.058997,540
136,57.469,64.013,8.9e-07,0.059059,544
137,56.242,63.236,9.2e-07,0.052461,548
138,55.615,62.474,9.5e-07,0.054672,552
139,54.268,61.653,9.7e-07,0.063646,556
140,53.479,60.836,1e-06,0.056263,560
141,52.775,60.03,1.03e-06,0.056758,564
142,52.113,59.238,1.06e-06,0.058205,568
143,51.357,58.45,1.09e-06,0.059734,572
144,48.864,57.491,1.12e-06,0.057781,576
145,49.122,56.654,1.15e-06,0.057529000000000004,580
146,48.38,55.827,1.19e-06,0.0569,584
147,46.672,54.911,1.22e-06,0.05683,588
148,45.187,53.939,1.25e-06,0.057465,592
149,44.44,52.989,1.29e-06,0.056308,596
150,43.353,52.026,1.32e-06,0.057515000000000004,600
151,42.28,51.051,1.36e-06,0.054373,604
152,42.811,50.227,1.39e-06,0.056335,608
153,42.614,49.466,1.43e-06,0.057878,612
154,39.94,48.513,1.47e-06,0.056076,616
155,38.782,47.54,1.51e-06,0.054466,620
156,36.783,46.464,1.55e-06,0.057815,624
157,36.844,45.502,1.59e-06,0.058732999999999994,628
158,36.721,44.624,1.63e-06,0.058626,632
159,35.276,43.689,1.67e-06,0.060105,636
160,33.899,42.71,1.71e-06,0.055765999999999996,640
161,33.933,41.833,1.75e-06,0.058075,644
162,32.046,40.854,1.8e-06,0.054960999999999996,648
163,31.157,39.884,1.84e-06,0.055115000000000004,652
164,31.618,39.058,1.89e-06,0.056808,656
165,27.976,37.949,1.93e-06,0.055240000000000004,660
166,29.416,37.096,1.98e-06,0.060929000000000004,664
167,27.589,36.145,2.03e-06,0.055985999999999994,668
168,27.871,35.318,2.08e-06,0.056235999999999994,672
169,25.626,34.349,2.13e-06,0.056108,676
170,23.703,33.284,2.18e-06,0.052738999999999994,680
171,24.087,32.365,2.23e-06,0.055924999999999996,684
172,22.734,31.402,2.28e-06,0.057229,688
173,21.464,30.408,2.34e-06,0.056447000000000004,692
174,21.649,29.532,2.39e-06,0.055038,696
175,20.714,28.65,2.45e-06,0.056256999999999995,700
176,22.38,28.023,2.5e-06,0.056726,704
177,18.396,27.06,2.56e-06,0.059027,708
178,21.327,26.487,2.62e-06,0.057498,712
179,18.01,25.639,2.68e-06,0.057261,716
180,16.89,24.764,2.74e-06,0.055396,720
181,17.296,24.018,2.8e-06,0.056250999999999995,724
182,16.273,23.243,2.86e-06,0.05547,728
183,16.468,22.566,2.93e-06,0.056673,732
184,15.979,21.907,2.99e-06,0.056694,736
185,14.498,21.166,3.06e-06,0.059344,740
186,13.875,20.437,3.12e-06,0.059895000000000004,744
187,13.799,19.773,3.19e-06,0.054560000000000004,748
188,12.995,19.095,3.26e-06,0.054367,752
189,12.251,18.411,3.33e-06,0.056884,756
190,12.774,17.847,3.4e-06,0.054317,760
191,12.149,17.277,3.47e-06,0.054537999999999996,764
192,12.421,16.792,3.55e-06,0.054473,768
193,11.999,16.312,3.62e-06,0.061649,772
194,10.119,15.693,3.7e-06,0.060628,776
195,9.535,15.077,3.77e-06,0.05421,780
196,10.758,14.645,3.85e-06,0.057206,784
197,8.094,13.99,3.93e-06,0.062918,788
198,9.153,13.506,4.01e-06,0.059306,792
199,8.517,13.007,4.09e-06,0.060707000000000004,796
200,8.561,12.563,4.18e-06,0.056513,800
201,7.342,12.041,4.26e-06,0.07623999999999999,804
202,8.466,11.683,4.35e-06,0.059652000000000004,808
203,7.985,11.314,4.43e-06,0.056146,812
204,7.705,10.953,4.52e-06,0.057271999999999997,816
205,6.684,10.526,4.61e-06,0.061641,820
206,7.245,10.198,4.7e-06,0.055623,824
207,6.896,9.868,4.79e-06,0.058298,828
208,7.568,9.638,4.89e-06,0.060367,832
209,8.104,9.484,4.98e-06,0.053977,836
210,7.257,9.262,5.08e-06,0.056494,840
211,5.648,8.9,5.17e-06,0.057289,844
212,5.254,8.536,5.27e-06,0.0544,848
213,6.071,8.289,5.37e-06,0.056415,852
214,4.096,7.87,5.47e-06,0.058377000000000005,856
215,5.255,7.608,5.58e-06,0.060665,860
216,5.51,7.399,5.68e-06,0.056243,864
217,6.222,7.281,5.79e-06,0.055124,868
218,3.61,6.914,5.89e-06,0.052121,872
219,4.379,6.66,6e-06,0.057227,876
220,6.15,6.609,6.11e-06,0.057512,880
221,3.771,6.325,6.23e-06,0.058512999999999996,884
222,4.5,6.143,6.34e-06,0.059442,888
223,3.05,5.834,6.45e-06,0.055547,892
224,3.806,5.631,6.57e-06,0.055838,896
225,5.672,5.635,6.69e-06,0.057652,900
226,2.193,5.291,6.81e-06,0.057442,904
227,3.034,5.065,6.93e-06,0.052643999999999996,908
228,4.536,5.012,7.05e-06,0.056354999999999995,912
229,5.112,5.022,7.18e-06,0.063002,916
230,3.649,4.885,7.3e-06,0.058558,920
231,2.925,4.689,7.43e-06,0.057895,924
232,3.656,4.586,7.56e-06,0.061615,928
233,3.85,4.512,7.69e-06,0.061802,932
234,3.768,4.438,7.83e-06,0.059262999999999996,936
235,1.928,4.187,7.96e-06,0.058349,940
236,3.554,4.123,8.1e-06,0.056208,944
237,2.75,3.986,8.23e-06,0.058829,948
